,checksum,Absorbance Coefficient,Ammonia,Cloud Cover,Dissolved Oxygen Saturation,Dissolved Reactive Phosphate,E Coli,Electrical Conductivity,Nitrate + Nitrite,Ring Temp,Total Nitrogen,Total Phosphate,Turbidity,Water Temp,pH,SiteID,Region,Name,Longitude,Latitude,Timestamp
11360,dd24a1a82f5c4909dc6d39b47d680b74,2.7,12.0,4.0,100.6,6.9,920.8,72.6,220.0,-13.00192293591221,296.0,12.0,1.0,6.9,7.46,WA2,Wanganui,Manganui at SH3,174.2615561,-39.28292805,2006-07-18T11:30:00Z
11361,dd268b929b0f9ad7b966b19da5562b53,3.21,8.0,5.0,98.9,27.3,40.4,84.3,570.0,15.545095690647903,641.0,42.0,3.65,13.5,6.97,RO5,Rotorua,Rangitaiki at Te Teko,176.7995602,-38.04158737,2008-09-17T14:50:00Z
11362,dd2f0369493c1bcb4476486ea55400d6,1.1,13.0,7.0,98.0,18.3,206.3,58.3,346.0,15.545095690647903,423.0,26.0,0.87,13.5,7.2,DN6,Dunedin,Mataura at Parawa,168.5611638,-45.5598632,2011-12-14T11:00:00Z
11363,dd2fddd338c67ecdc2c0d427bf1223a0,45.4,68.0,7.0,3.0,33.7,323.0,294.0,0.0,15.69490363243432,912.0,324.0,6.69,16.1,6.95,AK2,Auckland,Rangitopuni at Walkers,174.6177164,-36.74608218,2014-04-08T10:45:00Z
11364,dd31bea3633592ec3bbdd59fc5dffb75,2.8,6.0,8.0,98.5,9.4,38.4,101.9,1315.0,14.380542410889792,1413.0,10.0,0.6,9.4,7.69,TK2,Tekapo,Opihi at Rockwood,170.9415995,-44.16992472,2011-05-26T09:00:00Z
11365,dd471b0143373a7fc690c91c49b9e7cc,15.5,6.0,7.0,98.4,3.9,25.6,63.7,18.0,-7.299315038508751,287.0,29.0,2.6,1.8,7.34,DN1,Dunedin,Taieri at Tiroiti,170.2727477,-45.25818263,2011-08-11T09:35:00Z
11366,dd47bbbddd2f34919942fc3c37180e27,16.5,9.0,4.0,118.6,17.6,51.2,127.4,88.0,14.29125606905845,313.0,57.0,7.46,22.2,7.8,WH4,Whangarei,Wairu at Purua,174.1505947,-35.6537364,2012-12-11T11:45:00Z
11367,dd523432a6c3a3f6b1a7a440b9d0fca3,2.0,2.0,1.0,104.5,5.0,1.0,96.0,32.0,-15.070832758391289,86.0,8.0,2.46,11.3,8.01,GS4,Gisborne,Motu at Houpoto,177.6320592,-37.86546076,2013-09-10T11:05:00Z
11368,dd571b9fbacf4af337d3784174ad9880,21.4,19.0,1.0,89.8,11.0,307.6,225.0,244.0,14.915763474639842,646.0,38.0,7.15,10.8,7.3,AK2,Auckland,Rangitopuni at Walkers,174.6177164,-36.74608218,2013-07-09T11:00:00Z
11369,dd614f8a7008dfb74cfc296adadad8f4,1.02,1.0,0.0,105.5,0.3,74.0,107.3,350.0,-15.668120500921606,432.0,3.0,1.03,16.7,8.14,CH2,Christchurch,Hurunui at SH1 Br.,173.0964716,-42.90013799,2019-01-16T10:25:00Z
